episode_index,joint_torque_mean_1,joint_torque_mean_2,joint_torque_mean_3,joint_torque_mean_4,joint_torque_mean_5,joint_torque_mean_6,joint_torque_mean_7,joint_force_mean_1,joint_force_mean_2,joint_force_mean_3,joint_force_mean_4,joint_force_mean_5,joint_force_mean_6,joint_force_mean_7
34,0.18371676,14.000628,0.3730368,11.660275,0.18876128,1.0513825,-0.17180423,0.18804467,-0.81822735,0.40630427,-0.07905957,0.19239798,-0.067225076,-0.17830884
35,0.20742528,14.886919,0.38547966,11.981305,0.20688218,0.93504727,-0.15812305,0.20782077,-0.68433344,0.41530696,-0.05699306,0.22347414,-0.11320988,-0.17569062
36,0.29220587,14.875132,0.43374285,11.83252,0.20278673,1.0145923,-0.14770555,0.2940485,-0.77274394,0.47135854,-0.048168477,0.20833765,-0.04324876,-0.13793144
37,0.30033708,14.740082,0.45747247,11.863806,0.151868,0.95484436,-0.17522275,0.30166128,-0.53102225,0.4781961,-0.05017098,0.16455378,-0.1128161,-0.16709027
38,0.31801558,14.779241,0.46183914,11.932208,0.21340837,0.90014523,-0.174917,0.3192896,-0.57377857,0.48604357,-0.14705662,0.22918887,-0.13046563,-0.18139817
39,0.29448238,14.66477,0.46048507,11.867613,0.1766844,0.9862612,-0.12769833,0.29697743,-0.6984434,0.4769754,-0.043549746,0.19950314,-0.09100395,-0.15271865
40,0.1787407,14.6150875,0.33424908,12.00549,0.18980618,1.0082479,-0.08989688,0.1862447,-0.6601432,0.3605056,0.033183835,0.20626947,-0.07152462,-0.109261066
41,0.26900536,14.445379,0.43061766,11.939312,0.19312969,1.0046946,-0.13466094,0.27077308,-0.6290324,0.44423053,-0.0868656,0.21098913,-0.08441727,-0.14642918
42,0.19090688,14.122871,0.36480793,11.659435,0.14413233,0.935045,-0.13225228,0.19381505,-0.7738201,0.39308274,-0.0876846,0.1576374,-0.121149756,-0.14374144
43,0.39220107,14.61587,0.536969,11.832473,0.17683728,0.9514234,-0.15575103,0.3953418,-0.5409258,0.55399007,-0.06311581,0.20447142,-0.12659673,-0.17202951
44,0.19843705,14.891708,0.3315428,11.971348,0.15669578,0.9890409,-0.15282014,0.20091383,-0.5535115,0.36691773,-0.046712704,0.17048429,-0.060162608,-0.16107576
45,0.26323017,14.263813,0.42285267,11.84566,0.15167865,0.96007293,-0.1549175,0.26463884,-0.77308226,0.44730052,-0.12049899,0.17778891,-0.093554504,-0.17428507
46,0.28623304,14.159173,0.42272452,11.758816,0.17583689,0.8878167,-0.138237,0.29139984,-0.66557944,0.45489055,-0.1448667,0.19581343,-0.13505185,-0.15625845
47,0.1589651,14.094539,0.30087084,11.770645,0.1339961,1.00647,-0.11905871,0.15828753,-0.6498812,0.33221084,-0.15089133,0.15629867,-0.07358391,-0.14869986
48,0.27844226,14.375804,0.40846905,12.0192375,0.17931814,0.9966073,-0.179088,0.28136432,-0.6108129,0.43769124,-0.015468868,0.18781626,-0.06105387,-0.18817164
49,0.37605605,14.197807,0.51013196,11.765071,0.11898028,0.9811507,-0.18039684,0.37782407,-0.60508704,0.52799904,-0.12851661,0.14787716,-0.117483154,-0.20380199
50,0.42770585,14.260279,0.51978284,11.645105,0.1656523,0.9615894,-0.1401921,0.4277456,-0.52751863,0.5752454,-0.037127413,0.16016476,-0.21414167,-0.16832612
51,0.43196258,13.515242,0.56012374,11.728053,0.16302878,0.9753961,-0.18648483,0.43292126,-0.72983944,0.57933426,-0.0027121315,0.19465832,-0.22651649,-0.2062872
52,0.2624089,13.961693,0.39950073,11.931785,0.19782019,0.92444927,-0.15440722,0.25958526,-0.6846023,0.40512493,-0.04467619,0.24488826,-0.25509474,-0.16686326
53,0.3688064,13.878208,0.44879994,11.754486,0.1679751,0.9458821,-0.15407898,0.3673248,-0.7437562,0.48816025,-0.031217003,0.16453019,-0.24470638,-0.1651667
54,0.2928302,13.785549,0.42086205,11.7091875,0.21869865,0.9356822,-0.1602159,0.28740433,-0.76067257,0.43305513,-0.16251445,0.22680333,-0.20642135,-0.15715386
55,0.38497314,14.15391,0.50577974,11.686821,0.13746677,0.891841,-0.20765734,0.38025996,-0.6697882,0.5201254,-0.1613569,0.16811422,-0.25640437,-0.16910347
56,0.3563609,14.19724,0.4892216,11.87445,0.19927557,0.9219235,-0.22569905,0.35327706,-0.6358558,0.51534957,-0.113769025,0.2197086,-0.21195257,-0.2028481
57,0.47029603,13.927495,0.59310746,11.760277,0.18624213,0.99588275,-0.18188934,0.46304822,-0.56686735,0.60150623,0.005873284,0.22813414,-0.17941213,-0.17034452
58,0.3235265,13.827445,0.44708154,11.927844,0.1535123,0.89358133,-0.13455558,0.32152164,-0.67297363,0.45809785,-0.08433472,0.1843625,-0.23267554,-0.14612372
59,0.33424556,13.807186,0.46538198,11.861219,0.18949139,0.8828989,-0.16022441,0.33871177,-0.7334875,0.48194173,0.015578871,0.21299197,-0.28172636,-0.17078878
60,0.45148554,13.787854,0.5718327,11.9018755,0.091698624,0.9538021,-0.149408,0.45339704,-0.64827955,0.57469994,0.053682685,0.17317627,-0.2120308,-0.11786778
61,0.30764145,14.126964,0.4562122,11.804405,0.2056233,0.9386662,-0.17990933,0.30623168,-0.6837784,0.47942436,-0.07218046,0.23335068,-0.2270693,-0.16989994
62,0.3009911,14.0660095,0.4552029,11.844413,0.21981017,0.9001035,-0.18978734,0.30314043,-0.74092233,0.48208022,-0.038739003,0.23335074,-0.2384395,-0.19238473
63,0.21925214,13.663559,0.340729,11.647754,0.16219164,0.9372903,-0.17458351,0.22140503,-0.8246406,0.39065447,-0.16717616,0.15799168,-0.21752329,-0.15261558
64,0.30170488,13.699581,0.41352284,11.869485,0.15211399,0.892491,-0.14541267,0.30266404,-0.7709042,0.4503312,-0.027583227,0.1608063,-0.25612026,-0.14690328
65,0.34589154,13.804485,0.4796318,11.898896,0.14030603,0.943091,-0.14458847,0.3432786,-0.6412251,0.49208698,-0.011374874,0.17726582,-0.20873897,-0.16496465
